fist,18,11,14,16,74,25,48,1,1
fist,23,1,1,15,74,1,1,6,12
fist,24,11,11,16,62,1,85,50,1
fist,2,11,18,16,54,79,1,48,31
fist,1,10,18,16,50,64,1,1,1
fist,1,11,19,16,54,70,1,86,50
fist,1,12,18,16,56,64,33,48,50
fist,0,12,18,14,56,70,36,86,1
fist,0,11,18,16,54,83,33,86,50
fist,0,10,17,14,54,79,33,86,1
fist,0,12,18,16,56,83,25,48,50
fist,0,11,18,14,54,83,33,86,1
fist,1,13,18,14,56,70,25,86,1
fist,1,13,16,15,53,46,28,30,1
fist,1,11,18,16,50,68,25,86,37
fist,1,10,18,14,54,79,1,86,1
fist,0,13,16,16,52,74,36,86,36
fist,1,13,17,16,47,74,37,86,55
fist,0,12,18,15,47,79,1,86,1
fist,1,12,18,16,47,74,1,86,36
fist,1,13,18,14,47,64,25,1,1
fist,0,12,18,14,50,74,33,1,37
fist,0,11,18,15,47,79,1,86,1
fist,2,12,16,16,49,66,37,86,1
fist,1,13,16,16,43,64,28,86,36
fist,1,12,18,15,43,64,1,86,55
fist,2,12,16,16,40,68,25,1,55
fist,1,12,19,14,39,64,33,1,55
fist,0,11,16,16,42,80,25,48,50
fist,1,13,16,14,43,60,25,86,1
fist,0,11,18,14,42,60,25,67,55
fist,0,12,16,16,43,79,37,86,36
fist,2,13,17,15,42,60,33,86,1
fist,1,13,16,14,46,83,37,1,1
fist,2,11,18,1,42,68,1,86,55
fist,1,11,17,14,42,64,1,86,1
fist,1,12,16,15,43,64,25,1,55
fist,2,12,16,16,42,83,28,48,1
fist,2,12,16,15,46,64,28,48,55
fist,0,11,16,16,39,83,37,86,55
fist,2,12,17,14,46,68,1,48,37
fist,2,12,19,14,42,70,1,48,1
fist,0,11,18,14,43,72,33,86,36
fist,1,12,16,16,46,64,36,86,1
fist,2,12,19,16,40,74,1,86,49
fist,2,13,16,16,47,60,25,86,36
fist,2,13,19,15,47,74,33,86,1
fist,0,11,19,16,47,79,1,86,31
fist,1,11,19,14,49,79,1,86,1
fist,0,12,16,16,50,79,37,86,55
fist,3,11,18,1,52,60,1,86,1
fist,1,12,18,14,50,70,37,67,1
fist,0,11,18,14,49,79,1,86,1
fist,1,12,17,16,53,79,1,86,1
fist,1,12,17,16,46,79,36,86,36
fist,0,12,17,17,50,64,36,1,36
fist,0,10,18,14,50,80,1,86,1
fist,0,13,16,16,52,72,37,86,31
fist,0,10,18,16,52,80,1,86,31
fist,0,11,18,16,52,68,1,86,31
fist,1,11,18,14,50,72,1,86,1
fist,1,12,16,16,52,68,33,1,1
fist,0,12,16,14,50,80,52,1,36
fist,1,12,18,16,46,47,1,48,1
fist,1,12,16,18,50,72,1,1,31
fist,0,12,15,16,50,68,36,1,1
fist,0,11,16,16,50,79,1,0,1
fist,0,11,17,16,52,68,1,0,21
fist,0,11,17,16,54,80,33,1,37
fist,0,10,17,19,54,72,34,48,1
fist,1,11,17,18,54,60,1,86,1
fist,0,11,18,14,50,66,1,1,1
fist,1,13,17,16,47,72,1,0,1
fist,3,13,16,18,54,68,1,1,1
fist,0,11,18,16,54,80,1,1,1
fist,0,11,17,16,56,72,1,0,1
fist,2,12,18,16,51,72,8,1,1
fist,1,12,17,16,47,72,1,0,1
fist,3,11,18,16,48,1,19,0,1
fist,1,11,17,17,53,57,1,86,39
fist,2,12,18,17,52,1,19,0,1
fist,3,12,19,17,51,1,19,0,1
fist,3,13,17,17,48,72,1,86,20
fist,2,13,17,18,56,1,31,1,1
fist,0,11,17,17,53,62,1,0,1
fist,3,12,19,17,49,1,19,0,1
fist,2,11,20,17,46,1,19,0,1
fist,3,12,19,17,52,1,15,0,1
fist,2,11,20,17,53,1,37,0,39
fist,3,11,19,17,45,1,37,0,1
fist,3,12,18,17,52,72,1,1,39
fist,2,12,18,17,53,1,16,1,21
fist,3,11,19,18,52,1,34,1,12
fist,2,13,17,16,54,25,15,0,20
fist,2,11,17,16,53,74,34,86,21
fist,2,11,18,17,51,60,16,86,21
fist,3,11,19,17,51,1,34,86,21
fist,4,12,17,18,51,1,19,1,1
fist,2,12,17,17,53,72,16,86,1
fist,2,10,19,17,53,60,34,48,21
fist,3,11,17,17,57,1,38,1,12
fist,2,11,17,15,51,62,1,0,21
fist,2,12,17,17,52,72,16,48,21
fist,20,14,14,1,69,21,73,53,1
fist,3,13,15,19,47,1,16,1,1
fist,3,12,18,14,51,1,12,1,21
fist,2,10,19,17,52,72,35,48,12
fist,1,10,19,17,49,74,34,48,12
fist,2,11,19,17,53,1,19,0,1
fist,2,11,17,16,52,60,16,1,20
fist,2,11,17,17,52,1,16,48,21
fist,1,10,19,15,44,68,19,0,21
fist,3,11,18,19,50,1,19,1,1
fist,4,12,18,19,54,1,34,86,1
fist,3,11,17,16,57,1,19,86,21
fist,2,11,18,15,53,72,34,86,8
fist,2,10,19,15,49,60,34,1,16
fist,3,10,19,17,44,1,38,1,21
fist,3,10,18,17,48,1,20,1,13
fist,3,11,17,17,49,1,24,1,21
fist,2,10,18,17,49,72,34,1,21
fist,3,11,18,17,50,1,34,1,21
fist,3,12,18,17,44,1,20,1,21
fist,1,12,15,19,43,1,30,86,1
fist,2,12,18,17,45,1,16,86,13
fist,3,11,19,17,44,1,34,1,21
fist,3,10,20,17,49,1,53,1,21
fist,3,11,19,15,44,74,34,48,27
fist,3,10,19,17,44,1,34,48,13
fist,3,10,20,17,44,72,35,86,1
fist,3,11,17,17,44,1,24,86,16
fist,4,12,18,17,52,1,35,67,12
fist,2,12,18,17,46,72,16,0,1
fist,1,11,17,17,49,1,31,86,21
fist,2,12,17,17,45,1,16,1,21
fist,2,10,17,16,53,72,34,1,12
fist,3,11,17,17,51,74,34,86,21
fist,2,12,18,17,50,77,19,1,21
